Filename,Commons_URL,Latitude,Longitude,Date,Has_GPS,Description,Inferred_Location,Inferred_Latitude,Inferred_Longitude,Display_Name,Geocoding_Precision,Has_Inferred_GPS
2026 Ibolo Welfare initiative Program 01.jpg,https://upload.wikimedia.org/wikipedia/commons/b/be/2026_Ibolo_Welfare_initiative_Program_01.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 02.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0b/2026_Ibolo_Welfare_initiative_Program_02.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 03.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/2026_Ibolo_Welfare_initiative_Program_03.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 04.jpg,https://upload.wikimedia.org/wikipedia/commons/3/35/2026_Ibolo_Welfare_initiative_Program_04.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 05.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/2026_Ibolo_Welfare_initiative_Program_05.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 06.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/2026_Ibolo_Welfare_initiative_Program_06.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 07.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fb/2026_Ibolo_Welfare_initiative_Program_07.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 08.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/2026_Ibolo_Welfare_initiative_Program_08.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 09.jpg,https://upload.wikimedia.org/wikipedia/commons/1/13/2026_Ibolo_Welfare_initiative_Program_09.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
2026 Ibolo Welfare initiative Program 10.jpg,https://upload.wikimedia.org/wikipedia/commons/3/36/2026_Ibolo_Welfare_initiative_Program_10.jpg,,,2026-05-25,False,"The Ibolo Welfare Initiative Program was held at ONE Innovation Hub, Offa, on 25th May 2026, where the Network Intelligence Tracker was officially launched.","ONE Innovation Hub, Offa",8.1565,4.7235,"ONE Innovation Hub, Offa",partial_match,True
